ECH;Largeur;Famille;Genre;Espèce;Sexe;Espece_Conc;ITD;Size;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur trottoir;date observation;photos;hauteur façade en face;Situation des nids;remarque
31;1,6;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,2;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir;Formulaire
31;0,9;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,3;11,2;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir;Formulaire
32;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,7;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir;Formulaire
32;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,7;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir;Formulaire
32;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,7;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir;Formulaire
32;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,7;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir;Formulaire
32;1,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,7;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir;Formulaire
32;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,8;10,7;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;15h00;Pavés grès/calcaire;Trottoir;Formulaire
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;10,2;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route;Formulaire
35;2,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;10,2;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route;Formulaire
35;3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3,1;10,2;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;12h00;Pavés grès;Route;Formulaire
