ECH;Famille;Genre;Espèce;Sexe;Espece_Conc;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur Trottoir;date observation;Type de pavés;Situation des nids;remarque;more_1 mm;btw_1mm_500µm;btw_500-200µm;btw_200-100µm;btw_100-50µm;less_50µm
31;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;Pavés;Trottoir;Formulaire;2,549936252;13,49341266;55,07862303;20,48448789;6,587335317;1,806204845
32;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;32;Saint-Gilles;Avenue des villas, 46;50,8241478;4,3410627;20;5;2;25.IV.2020;Pavés grès/calcaire;Trottoir;Formulaire;1,552795031;2,898550725;57,14285714;31,67701863;5,279503106;1,449275362
35;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;35;Uccle;Rue Baron Perelman, pas de numéro en haut de la rue;50,79459891;4,358488599;100;25;0,5;27.IV.2020;Pavés grès;Route;Formulaire;1,264044944;3,125;17,31039326;43,06530899;32,9002809;2,33497191
37;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;Pavés grès;Trottoir;Formulaire;3,662165255;16,25085832;46,23483635;23,64385443;6,248569467;3,959716182
38;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Ixelles;Rue François Roffiaen, 36-48;50,8204767;4,3822001;120;40;3;27.IV.2020;pavés grès/calcaire;Trottoir;Formulaire;1,72206648;4,285142171;48,83860633;33,23988787;8,370044053;3,544253104
41;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;41;Saint-Gilles;Place Louis Morichar en face du 38-39;50,8265883;4,3481797;10;2;1;06.V.2020;Pavés grès;Trottoir;Contact personnel;6,12244898;2,653061224;41,2244898;39,79591837;7,959183673;2,244897959
42;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;pavés grès;Trottoir;Formulaire;2,164300675;8,68047475;46,86990924;20,40958808;19,68815453;2,187572725
33-1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;2 types de Trottoirs (voir photos);Trottoir;Formulaire;2,468168462;4,740450539;58,1194907;27,61998041;5,308521058;1,743388834
G12;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);G. Noël;J. Bonnet;G12;Auderghem;Rue Léon Vande Woesteyne, 7-15;50,8045686;4,4376087;200;35;1,5;03.VI.2020;;Trottoir_Rue;Formulaire;1,325833668;12,79630374;41,46243471;28,2643632;15,08638007;1,064684612
G2;Melittidae;Dasypoda;hirtipes;female;Dasypoda_hirtipes;(Fabricius 1793);G. Noël;J. Bonnet;G2;Woluwé-Saint-Lambert;Rue Abbé Jean Heyman, entrée de l'école Princesse Paola;50,8496;4,426647;200;40;5;26.V.2020;dalles béton;Trottoir;Formulaire;3,709226468;6,113699907;26,35601118;44,80894688;17,39049394;1,621621622
