ECH;Size;Family;Genus;Species;Sex;Espece_Conc;Line;Coll.;Det.;ID;Municipality;Address;Latitude;Longitude;Nest number;Nest length [m];Nest size [m];Date;P;Pavement type;Pavement location
36;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir
36;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir
36;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir
36;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir
36;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;36;Schaerbeek;Rue des chardons, 39;50,8572844;4,3928837;10;2;1;27.IV.2020;16h00;dalles béton;Trottoir
37;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir
37;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir
37;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir
37;2,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir
37;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir
37;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;37;Schaerbeek;Avenue Léon Mahillon, 89;50,8516553;4,3936141;50;3;1;27.IV.2020;17h00;Pavés grès;Trottoir
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir
42;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir
42;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir
42;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir
42;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;42;Schaerbeek;Avenue Albert Giraud, 71-79;50,8748773;4,3808478;350;35;2;06.V.2020;14h00;pavés grès;Trottoir
33-1;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-1;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-1;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-1;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-1;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-1;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-2;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-2;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-2;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-2;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-2;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
33-2;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;33-1;Saint-Gilles;Avenue Clémentine, 15-33;50,8247898;4,339305;200;30;3;25.IV.2020;14h00;2 types de trottoirs (voir photos);Trottoir
G3;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir
G3;2,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;G3;Schaerbeek;Avenue Sleeckx, 76-106;50,874945;4,382368;50;100;3;27.V.2020;14H00;pavés grès;Trottoir
